cell line,Drug
"AC-CRISPR, clone A19 (NF2-)",MLN9708 (Ixazomib)
"AC-CRISPR, clone A19 (NF2-)",MLN9708 (Ixazomib)
"AC-CRISPR, clone A19 (NF2-)",MLN9708 (Ixazomib)
"AC-CRISPR, clone A19 (NF2-)",MLN9708 (Ixazomib)
"AC-CRISPR, clone A19 (NF2-)",MLN9708 (Ixazomib)
"AC-CRISPR, clone A19 (NF2-)",MLN9708 (Ixazomib)
"AC-CRISPR, clone A19 (NF2-)",MLN9708 (Ixazomib)
"AC-CRISPR, clone A19 (NF2-)",MLN9708 (Ixazomib)
"AC-CRISPR, clone A19 (NF2-)",MLN9708 (Ixazomib)
"AC-CRISPR, clone A19 (NF2-)",MLN4924 (Pevonedistat)
"AC-CRISPR, clone A19 (NF2-)",MLN4924 (Pevonedistat)
"AC-CRISPR, clone A19 (NF2-)",MLN4924 (Pevonedistat)
"AC-CRISPR, clone A19 (NF2-)",MLN4924 (Pevonedistat)
"AC-CRISPR, clone A19 (NF2-)",MLN4924 (Pevonedistat)
"AC-CRISPR, clone A19 (NF2-)",MLN4924 (Pevonedistat)
"AC-CRISPR, clone A19 (NF2-)",MLN4924 (Pevonedistat)
"AC-CRISPR, clone A19 (NF2-)",MLN4924 (Pevonedistat)
"AC-CRISPR, clone A19 (NF2-)",MLN4924 (Pevonedistat)
"AC-CRISPR, clone A19 (NF2-)",MLN7243 (TAK-243)
"AC-CRISPR, clone A19 (NF2-)",MLN7243 (TAK-243)
"AC-CRISPR, clone A19 (NF2-)",MLN7243 (TAK-243)
"AC-CRISPR, clone A19 (NF2-)",MLN7243 (TAK-243)
"AC-CRISPR, clone A19 (NF2-)",MLN7243 (TAK-243)
"AC-CRISPR, clone A19 (NF2-)",MLN7243 (TAK-243)
"AC-CRISPR, clone A19 (NF2-)",MLN7243 (TAK-243)
"AC-CRISPR, clone A19 (NF2-)",MLN7243 (TAK-243)
"AC-CRISPR, clone A19 (NF2-)",MLN7243 (TAK-243)
