compound	target(s)
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
BMS-777607	c-Met
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
Celecoxib	Cox2
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
