compound	target(s)	cell type
17-AAG	HSP90	NF2-/-
17-AAG	HSP90	NF2-/-
17-AAG	HSP90	NF2-/-
17-AAG	HSP90	NF2-/-
17-AAG	HSP90	NF2-/-
17-AAG	HSP90	NF2-/-
17-AAG	HSP90	NF2-/-
17-AAG	HSP90	NF2-/-
A-769662	PI3K	NF2-/-
A-769662	PI3K	NF2-/-
A-769662	PI3K	NF2-/-
A-769662	PI3K	NF2-/-
A-769662	PI3K	NF2-/-
A-769662	PI3K	NF2-/-
A-769662	PI3K	NF2-/-
A-769662	PI3K	NF2-/-
A83-01	ALK-4, ALK-5, ALK-7	NF2-/-
A83-01	ALK-4, ALK-5, ALK-7	NF2-/-
A83-01	ALK-4, ALK-5, ALK-7	NF2-/-
A83-01	ALK-4, ALK-5, ALK-7	NF2-/-
A83-01	ALK-4, ALK-5, ALK-7	NF2-/-
A83-01	ALK-4, ALK-5, ALK-7	NF2-/-
A83-01	ALK-4, ALK-5, ALK-7	NF2-/-
A83-01	ALK-4, ALK-5, ALK-7	NF2-/-
AEE788	HER, VEGFR, RYK	NF2-/-
AEE788	HER, VEGFR, RYK	NF2-/-
AEE788	HER, VEGFR, RYK	NF2-/-
AEE788	HER, VEGFR, RYK	NF2-/-
AEE788	HER, VEGFR, RYK	NF2-/-
AEE788	HER, VEGFR, RYK	NF2-/-
AEE788	HER, VEGFR, RYK	NF2-/-
AEE788	HER, VEGFR, RYK	NF2-/-
Afatinib	EGFR	NF2-/-
Afatinib	EGFR	NF2-/-
Afatinib	EGFR	NF2-/-
Afatinib	EGFR	NF2-/-
Afatinib	EGFR	NF2-/-
Afatinib	EGFR	NF2-/-
Afatinib	EGFR	NF2-/-
Afatinib	EGFR	NF2-/-
AP26113	ALK	NF2-/-
AP26113	ALK	NF2-/-
AP26113	ALK	NF2-/-
AP26113	ALK	NF2-/-
AP26113	ALK	NF2-/-
AP26113	ALK	NF2-/-
AP26113	ALK	NF2-/-
AP26113	ALK	NF2-/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2 -/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	NF2-/-
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
AR42	HDAC	wt
Arry-380	ERBB2	NF2-/-
Arry-380	ERBB2	NF2-/-
Arry-380	ERBB2	NF2-/-
Arry-380	ERBB2	NF2-/-
Arry-380	ERBB2	NF2-/-
Arry-380	ERBB2	NF2-/-
Arry-380	ERBB2	NF2-/-
Arry-380	ERBB2	NF2-/-
ARRY334543	EGFR	NF2-/-
ARRY334543	EGFR	NF2-/-
ARRY334543	EGFR	NF2-/-
ARRY334543	EGFR	NF2-/-
ARRY334543	EGFR	NF2-/-
ARRY334543	EGFR	NF2-/-
ARRY334543	EGFR	NF2-/-
ARRY334543	EGFR	NF2-/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AS605240	PI3Kg	NF2 -/-
AT13387	HSP90	NF2-/-
AT13387	HSP90	NF2-/-
AT13387	HSP90	NF2-/-
AT13387	HSP90	NF2-/-
AT13387	HSP90	NF2-/-
AT13387	HSP90	NF2-/-
AT13387	HSP90	NF2-/-
AT13387	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	NF2-/-
AUY922	HSP90	wt
AUY922	HSP90	wt
AUY922	HSP90	wt
AUY922	HSP90	wt
AUY922	HSP90	wt
AUY922	HSP90	wt
AUY922	HSP90	wt
AUY922	HSP90	wt
AZD5363	PI3K	NF2-/-
AZD5363	PI3K	NF2-/-
AZD5363	PI3K	NF2-/-
AZD5363	PI3K	NF2-/-
AZD5363	PI3K	NF2-/-
AZD5363	PI3K	NF2-/-
AZD5363	PI3K	NF2-/-
AZD5363	PI3K	NF2-/-
AZD8931	EGFR	NF2-/-
AZD8931	EGFR	NF2-/-
AZD8931	EGFR	NF2-/-
AZD8931	EGFR	NF2-/-
AZD8931	EGFR	NF2-/-
AZD8931	EGFR	NF2-/-
AZD8931	EGFR	NF2-/-
AZD8931	EGFR	NF2-/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BEZ235	PI3K, mTor	NF2 -/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	NF2-/-
BMS 794833	VEGF, c-Met	wt
BMS 794833	VEGF, c-Met	wt
BMS 794833	VEGF, c-Met	wt
BMS 794833	VEGF, c-Met	wt
BMS 794833	VEGF, c-Met	wt
BMS 794833	VEGF, c-Met	wt
BMS 794833	VEGF, c-Met	wt
BMS 794833	VEGF, c-Met	wt
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
