cellLine,drug,experiment,center
Syn1,AR42,exp-1,MGH
Syn1,Axitinib,exp-1,MGH
Syn1,AZD2014,exp-1,MGH
Syn1,Bortezomib,exp-1,MGH
Syn1,CUDC907,exp-1,MGH
Syn1,Everolimus,exp-1,MGH
Syn1,Ganetespib,exp-1,MGH
Syn1,GDC0941,exp-1,MGH
Syn1,GDC0980,exp-1,MGH
Syn1,GSK2126458,exp-1,MGH
Syn1,Panobinostat,exp-1,MGH
Syn1,Vorinostat,exp-1,MGH
Syn2,AR42,exp-1,MGH
Syn2,Axitinib,exp-1,MGH
Syn2,AZD2014,exp-1,MGH
Syn2,Bortezomib,exp-1,MGH
Syn2,CUDC907,exp-1,MGH
Syn2,Everolimus,exp-1,MGH
Syn2,Ganetespib,exp-1,MGH
Syn2,GDC0941,exp-1,MGH
Syn2,GDC0980,exp-1,MGH
Syn2,GSK2126458,exp-1,MGH
Syn2,Panobinostat,exp-1,MGH
Syn2,Vorinostat,exp-1,MGH
Syn3,AR42,exp-1,MGH
Syn3,Axitinib,exp-1,MGH
Syn3,AZD2014,exp-1,MGH
Syn3,Bortezomib,exp-1,MGH
Syn3,CUDC907,exp-1,MGH
Syn3,Everolimus,exp-1,MGH
Syn3,Ganetespib,exp-1,MGH
Syn3,GDC0941,exp-1,MGH
Syn3,GDC0980,exp-1,MGH
Syn3,GSK2126458,exp-1,MGH
Syn3,Panobinostat,exp-1,MGH
Syn3,Vorinostat,exp-1,MGH
Syn4,AR42,exp-1,MGH
Syn4,Axitinib,exp-1,MGH
Syn4,AZD2014,exp-1,MGH
Syn4,Bortezomib,exp-1,MGH
Syn4,CUDC907,exp-1,MGH
Syn4,Everolimus,exp-1,MGH
Syn4,Ganetespib,exp-1,MGH
Syn4,GDC0941,exp-1,MGH
Syn4,GDC0980,exp-1,MGH
Syn4,GSK2126458,exp-1,MGH
Syn4,Panobinostat,exp-1,MGH
Syn4,Vorinostat,exp-1,MGH
Syn5,AR42,exp-1,MGH
Syn5,Axitinib,exp-1,MGH
Syn5,AZD2014,exp-1,MGH
Syn5,Bortezomib,exp-1,MGH
Syn5,CUDC907,exp-1,MGH
Syn5,Everolimus,exp-1,MGH
Syn5,Ganetespib,exp-1,MGH
Syn5,GDC0941,exp-1,MGH
Syn5,GDC0980,exp-1,MGH
Syn5,GSK2126458,exp-1,MGH
Syn5,Panobinostat,exp-1,MGH
Syn5,Vorinostat,exp-1,MGH
Syn6,AR42,exp-1,MGH
Syn6,Axitinib,exp-1,MGH
Syn6,AZD2014,exp-1,MGH
Syn6,Bortezomib,exp-1,MGH
Syn6,CUDC907,exp-1,MGH
Syn6,Everolimus,exp-1,MGH
Syn6,Ganetespib,exp-1,MGH
Syn6,GDC0941,exp-1,MGH
Syn6,GDC0980,exp-1,MGH
Syn6,GSK2126458,exp-1,MGH
Syn6,Panobinostat,exp-1,MGH
Syn6,Vorinostat,exp-1,MGH
Syn10,AR42,exp-2,MGH
Syn10,Axitinib,exp-2,MGH
Syn10,AZD2014,exp-2,MGH
Syn10,Bortezomib,exp-2,MGH
Syn10,CUDC907,exp-2,MGH
Syn10,Everolimus,exp-2,MGH
Syn10,Ganetespib,exp-2,MGH
Syn10,GDC0941,exp-2,MGH
Syn10,GDC0980,exp-2,MGH
Syn10,GSK2126458,exp-2,MGH
Syn10,Panobinostat,exp-2,MGH
Syn10,Vorinostat,exp-2,MGH
Syn12,AR42,exp-2,MGH
Syn12,Axitinib,exp-2,MGH
Syn12,AZD2014,exp-2,MGH
Syn12,Bortezomib,exp-2,MGH
Syn12,CUDC907,exp-2,MGH
Syn12,Everolimus,exp-2,MGH
Syn12,Ganetespib,exp-2,MGH
Syn12,GDC0941,exp-2,MGH
Syn12,GDC0980,exp-2,MGH
Syn12,GSK2126458,exp-2,MGH
Syn12,Panobinostat,exp-2,MGH
Syn12,Vorinostat,exp-2,MGH
Syn7,AR42,exp-2,MGH
Syn7,Axitinib,exp-2,MGH
Syn7,AZD2014,exp-2,MGH
Syn7,Bortezomib,exp-2,MGH
Syn7,CUDC907,exp-2,MGH
Syn7,Everolimus,exp-2,MGH
Syn7,Ganetespib,exp-2,MGH
Syn7,GDC0941,exp-2,MGH
Syn7,GDC0980,exp-2,MGH
Syn7,GSK2126458,exp-2,MGH
Syn7,Panobinostat,exp-2,MGH
Syn7,Vorinostat,exp-2,MGH
HS01,AR42,Run1,UCF
HS01,Axitinib,Run1,UCF
HS01,AZD2014,Run1,UCF
HS01,Bortezomib,Run1,UCF
HS01,CUDC907,Run1,UCF
HS01,Everolimus,Run1,UCF
HS01,Ganetespib,Run1,UCF
HS01,GDC0941,Run1,UCF
HS01,GDC0980,Run1,UCF
HS01,GSK2126458,Run1,UCF
HS01,Lapatinib,Run1,UCF
HS01,LY2157299,Run1,UCF
HS01,OSU03012,Run1,UCF
HS01,Panobinostat,Run1,UCF
HS01,Perifosine,Run1,UCF
HS01,Selumetinib,Run1,UCF
HS01,Trametinib,Run1,UCF
HS01,Vismodegib,Run1,UCF
HS01,Vorinostat,Run1,UCF
HS11,AR42,Run1,UCF
HS11,Axitinib,Run1,UCF
HS11,AZD2014,Run1,UCF
HS11,Bortezomib,Run1,UCF
HS11,CUDC907,Run1,UCF
HS11,Everolimus,Run1,UCF
HS11,Ganetespib,Run1,UCF
HS11,GDC0941,Run1,UCF
HS11,GDC0980,Run1,UCF
HS11,GSK2126458,Run1,UCF
HS11,Lapatinib,Run1,UCF
HS11,LY2157299,Run1,UCF
HS11,OSU03012,Run1,UCF
HS11,Panobinostat,Run1,UCF
HS11,Perifosine,Run1,UCF
HS11,Selumetinib,Run1,UCF
HS11,Trametinib,Run1,UCF
HS11,Vismodegib,Run1,UCF
HS11,Vorinostat,Run1,UCF
MS01,AR42,Run1,UCF
MS01,Axitinib,Run1,UCF
